,Start Time,Start Location,End Time,End Location,Total Ride Time,start station latitude,start station longitude,end station latitude,end station longtiude,Day of Week,Hour
3,2019-01-12 12:04:52,Suffolk St & Stanton St,2019-01-12 12:06:52,E 2 St & Avenue B,0 days 00:02:00.000000000,40.72066442,-73.98517977,40.72217444,-73.98368779,Saturday,12
65,2019-01-12 12:23:25,E 2 St & Avenue B,2019-01-12 12:27:20,E 7 St & Avenue A,0 days 00:03:55.000000000,40.72217444,-73.98368779,40.72621788,-73.98379855,Saturday,12
37,2019-01-12 12:39:59,E 7 St & Avenue A,2019-01-12 12:45:13,E 2 St & Avenue B,0 days 00:05:14.000000000,40.72621788,-73.98379855,40.72217444,-73.98368779,Saturday,12
64,2019-01-13 11:55:36,E 2 St & Avenue B,2019-01-13 12:01:25,E 11 St & 2 Ave,0 days 00:05:49.000000000,40.72217444,-73.98368779,40.73047309,-73.98672378,Sunday,11
36,2019-01-13 15:52:46,E 11 St & 2 Ave,2019-01-13 15:58:47,E 2 St & Avenue B,0 days 00:06:01.000000000,40.73047309,-73.98672378,40.72217444,-73.98368779,Sunday,15
46,2019-01-13 16:43:45,Forsyth St & Broome St,2019-01-13 16:48:46,Suffolk St & Stanton St,0 days 00:05:01.000000000,40.71893904,-73.99266288,40.72066442,-73.98517977,Sunday,16
28,2019-01-18 19:21:10,Broadway & W 36 St,2019-01-18 19:41:05,E 2 St & Avenue B,0 days 00:19:55.000000000,40.75097711,-73.98765428,40.72217444,-73.98368779,Friday,19
27,2019-02-14 18:04:59,Broadway & W 36 St,2019-02-14 18:27:26,E 2 St & Avenue B,0 days 00:22:27.000000000,40.75097711,-73.98765428,40.72217444,-73.98368779,Thursday,18
43,2019-02-15 20:00:34,W 38 St & 8 Ave,2019-02-15 20:31:27,Suffolk St & Stanton St,0 days 00:30:53.000000000,40.75466591,-73.99138152,40.72066442,-73.98517977,Friday,20
16,2019-02-17 10:36:25,E 6 St & Avenue B,2019-02-17 10:38:10,E 2 St & Avenue B,0 days 00:01:45.000000000,40.72453734,-73.98185424,40.72217444,-73.98368779,Sunday,10
69,2019-02-17 15:36:05,Allen St & Stanton St,2019-02-17 15:46:21,MacDougal St & Washington Sq,0 days 00:10:16.000000000,40.722055,-73.989111,40.73226398,-73.99852205,Sunday,15
39,2019-02-23 10:35:30,Rivington St & Chrystie St,2019-02-23 10:39:22,Suffolk St & Stanton St,0 days 00:03:52.000000000,40.72110063,-73.99192540000001,40.72066442,-73.98517977,Saturday,10
